GW,HOME,AWAY,HOME538,AWAY538,FIXTURE_CODE,HOME_SCORE,AWAY_SCORE
1,CRY,ARS,32,42,CRYARS,0,2
1,FUL,LIV,9,75,FULLIV,2,2
1,BOU,AVL,27,47,BOUAVL,2,0
1,LEE,WOL,39,35,LEEWOL,2,1
1,NEW,NOT,54,20,NEWNOT,2,0
1,TOT,SOU,71,12,TOTSOU,4,1
1,EVE,CHE,18,61,EVECHE,0,1
1,LEI,BRF,47,28,LEIBRF,2,2
1,MUN,BHA,47,28,MUNBHA,1,2
1,WHU,MCI,13,69,WHUMCI,0,2
2,AVL,EVE,54,22,AVLEVE,2,1
2,ARS,LEI,57,21,ARSLEI,4,2
2,BHA,NEW,49,25,BHANEW,0,0
2,MCI,BOU,87,3,MCIBOU,4,0
2,SOU,LEE,44,32,SOULEE,2,2
2,WOL,FUL,51,23,WOLFUL,0,0
2,BRF,MUN,36,39,BRFMUN,4,0
2,NOT,WHU,30,44,NOTWHU,1,0
2,CHE,TOT,49,27,CHETOT,2,2
2,LIV,CRY,74,9,LIVCRY,1,1
3,TOT,WOL,65,14,TOTWOL,1,0
3,CRY,AVL,38,35,CRYAVL,3,1
3,EVE,NOT,51,23,EVENOT,1,1
3,FUL,BRF,34,40,FULBRF,3,2
3,LEI,SOU,53,24,LEISOU,1,2
3,BOU,ARS,19,58,BOUARS,0,3
3,LEE,CHE,17,62,LEECHE,3,0
3,WHU,BHA,36,37,WHUBHA,0,2
3,NEW,MCI,12,70,NEWMCI,3,3
3,MUN,LIV,22,57,MUNLIV,2,1
4,SOU,MUN,31,45,SOUMUN,0,1
4,BRF,EVE,49,27,BRFEVE,1,1
4,BHA,LEE,56,20,BHALEE,1,0
4,CHE,LEI,67,14,CHELEI,2,1
4,LIV,BOU,83,5,LIVBOU,9,0
4,MCI,CRY,77,8,MCICRY,4,2
4,ARS,FUL,60,12,ARSFUL,2,1
4,AVL,WHU,47,28,AVLWHU,0,1
4,WOL,NEW,40,33,WOLNEW,1,1
4,NOT,TOT,16,63,NOTTOT,0,2
5,CRY,BRF,47,28,CRYBRF,1,1
5,FUL,BHA,28,46,FULBHA,2,1
5,SOU,CHE,20,58,SOUCHE,2,1
5,LEE,EVE,45,30,LEEEVE,1,1
5,BOU,WOL,32,41,BOUWOL,0,0
5,ARS,AVL,60,18,ARSAVL,2,1
5,MCI,NOT,89,3,MCINOT,6,0
5,WHU,TOT,25,51,WHUTOT,1,1
5,LIV,NEW,72,11,LIVNEW,2,1
5,LEI,MUN,38,38,LEIMUN,0,1
6,EVE,LIV,13,69,EVELIV,0,0
6,BRF,LEE,49,27,BRFLEE,5,2
6,CHE,WHU,62,16,CHEWHU,2,1
6,NEW,CRY,45,29,NEWCRY,0,0
6,NOT,BOU,45,27,NOTBOU,2,3
6,TOT,FUL,71,11,TOTFUL,2,1
6,WOL,SOU,47,27,WOLSOU,1,0
6,AVL,MCI,13,70,AVLMCI,1,1
6,BHA,LEI,51,24,BHALEI,5,2
6,MUN,ARS,35,41,MUNARS,3,1
8,AVL,SOU,50,26,AVLSOU,1,0
8,NOT,FUL,37,36,NOTFUL,2,3
8,WOL,MCI,10,74,WOLMCI,0,3
8,NEW,BOU,61,16,NEWBOU,1,1
8,TOT,LEI,64,16,TOTLEI,6,2
8,BRF,ARS,28,49,BRFARS,0,3
8,EVE,WHU,37,36,EVEWHU,1,0
9,ARS,TOT,44,32,ARSTOT,3,1
9,BOU,BRF,30,45,BOUBRF,0,0
9,CRY,CHE,27,47,CRYCHE,1,2
9,FUL,NEW,32,42,FULNEW,1,4
9,LIV,BHA,64,16,LIVBHA,3,3
9,SOU,EVE,44,30,SOUEVE,1,2
9,WHU,WOL,47,25,WHUWOL,2,0
9,MCI,MUN,74,10,MCIMUN,6,3
9,LEE,AVL,39,36,LEEAVL,0,0
9,LEI,NOT,59,19,LEINOT,4,0
10,BOU,LEI,30,45,BOULEI,2,1
10,CHE,WOL,65,13,CHEWOL,3,0
10,MCI,SOU,87,4,MCISOU,4,0
10,NEW,BRF,51,25,NEWBRF,5,1
10,BHA,TOT,37,38,BHATOT,0,1
10,CRY,LEE,48,27,CRYLEE,2,1
10,WHU,FUL,55,20,WHUFUL,3,1
10,ARS,LIV,34,43,ARSLIV,3,2
10,EVE,MUN,28,48,EVEMUN,1,2
10,NOT,AVL,27,46,NOTAVL,1,1
11,BRF,BHA,32,43,BRFBHA,2,0
11,LEI,CRY,44,31,LEICRY,0,0
11,FUL,BOU,47,27,FULBOU,2,2
11,WOL,NOT,55,19,WOLNOT,1,0
11,TOT,EVE,68,13,TOTEVE,2,0
11,AVL,CHE,24,50,AVLCHE,0,2
11,LEE,ARS,21,58,LEEARS,0,1
11,MUN,NEW,48,28,MUNNEW,0,0
11,SOU,WHU,36,38,SOUWHU,1,1
11,LIV,MCI,34,45,LIVMCI,1,0
12,BHA,NOT,67,13,BHANOT,0,0
12,CRY,WOL,45,26,CRYWOL,2,1
12,BOU,SOU,36,37,BOUSOU,0,1
12,BRF,CHE,23,55,BRFCHE,0,0
12,LIV,WHU,72,11,LIVWHU,1,0
12,NEW,EVE,58,19,NEWEVE,1,0
12,MUN,TOT,38,38,MUNTOT,2,0
12,FUL,AVL,31,43,FULAVL,3,0
12,LEI,LEE,48,28,LEILEE,2,0
13,NOT,LIV,9,77,NOTLIV,1,0
13,EVE,CRY,38,34,EVECRY,3,0
13,MCI,BHA,73,10,MCIBHA,3,1
13,CHE,MUN,50,26,CHEMUN,1,1
13,AVL,BRF,46,29,AVLBRF,4,0
13,LEE,FUL,50,26,LEEFUL,2,3
13,SOU,ARS,19,59,SOUARS,1,1
13,WOL,LEI,40,33,WOLLEI,0,4
13,TOT,NEW,52,24,TOTNEW,1,2
13,WHU,BOU,60,16,WHUBOU,2,0
14,LEI,MCI,11,73,LEIMCI,0,1
14,BOU,TOT,17,61,BOUTOT,2,3
14,BRF,WOL,46,29,BRFWOL,1,1
14,BHA,CHE,32,42,BHACHE,4,1
